127.0.0.1 - - [24/May/2024:12:20:28 -0500] "GET / HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [24/May/2024:12:20:30 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [24/May/2024:12:20:30 -0500] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [24/May/2024:12:20:55 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [24/May/2024:12:23:43 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [24/May/2024:12:23:43 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [24/May/2024:12:25:32 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [24/May/2024:12:25:32 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [24/May/2024:12:25:55 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [24/May/2024:12:25:55 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [24/May/2024:12:26:16 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [24/May/2024:12:26:16 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [24/May/2024:12:29:00 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [24/May/2024:12:29:00 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [24/May/2024:12:32:43 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [24/May/2024:12:32:43 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 200 388
0:0:0:0:0:0:0:1 - - [24/May/2024:12:33:30 -0500] "GET /examen_1_bryan_santillan/home.jsp HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [24/May/2024:12:33:30 -0500] "GET /examen_1_bryan_santillan/estilos.css HTTP/1.1" 200 412
